Clube,Ano,R19,R38,ID
Atlético-PR,2006,14,13,Atlético-PR2006
Botafogo,2006,17,12,Botafogo2006
Corinthians,2006,18,9,Corinthians2006
Cruzeiro,2006,8,10,Cruzeiro2006
Figueirense,2006,9,7,Figueirense2006
Flamengo,2006,13,11,Flamengo2006
Fluminense,2006,6,15,Fluminense2006
Fortaleza,2006,19,18,Fortaleza2006
Goiás,2006,16,8,Goiás2006
Grêmio,2006,5,3,Grêmio2006
Internacional,2006,2,2,Internacional2006
Juventude,2006,12,14,Juventude2006
Palmeiras,2006,10,16,Palmeiras2006
Paraná,2006,4,5,Paraná2006
Ponte Preta,2006,15,17,Ponte Preta2006
Santa Cruz,2006,20,20,Santa Cruz2006
Santos,2006,3,4,Santos2006
São Caetano,2006,11,19,São Caetano2006
São Paulo,2006,1,1,São Paulo2006
Vasco,2006,7,6,Vasco2006
América-RN,2007,20,20,América-RN2007
Atlético-MG,2007,14,8,Atlético-MG2007
Atlético-PR,2007,17,12,Atlético-PR2007
Botafogo,2007,2,9,Botafogo2007
Corinthians,2007,13,17,Corinthians2007
Cruzeiro,2007,3,5,Cruzeiro2007
Figueirense,2007,16,13,Figueirense2007
Flamengo,2007,7,3,Flamengo2007
Fluminense,2007,12,4,Fluminense2007
Goiás,2007,6,16,Goiás2007
Grêmio,2007,8,6,Grêmio2007
Internacional,2007,10,11,Internacional2007
Juventude,2007,19,18,Juventude2007
Náutico,2007,18,15,Náutico2007
Palmeiras,2007,5,7,Palmeiras2007
Paraná,2007,15,19,Paraná2007
Santos,2007,9,2,Santos2007
São Paulo,2007,1,1,São Paulo2007
Sport,2007,11,14,Sport2007
Vasco,2007,4,10,Vasco2007
Atlético-MG,2008,12,12,Atlético-MG2008
Atlético-PR,2008,16,13,Atlético-PR2008
Botafogo,2008,8,7,Botafogo2008
Coritiba,2008,6,9,Coritiba2008
Cruzeiro,2008,2,3,Cruzeiro2008
Figueirense,2008,11,17,Figueirense2008
Flamengo,2008,7,5,Flamengo2008
Fluminense,2008,19,14,Fluminense2008
Goiás,2008,13,8,Goiás2008
Grêmio,2008,1,2,Grêmio2008
