"Ano","Pos","Pts","Rodada","Clube"
2006,4,114,1,"São Caetano"
2006,4,76,2,"Vasco"
2006,4,76,3,"São Paulo"
2006,4,85.5,4,"São Paulo"
2006,4,76,5,"Fluminense"
2006,4,82.3333333333333,6,"Fluminense"
2006,4,81.4285714285714,7,"São Paulo"
2006,4,80.75,8,"Internacional"
2006,4,76,9,"Internacional"
2006,4,72.2,10,"Fluminense"
2006,4,76,11,"Fluminense"
2006,4,72.8333333333333,12,"Fluminense"
2006,4,70.1538461538462,13,"Paraná"
2006,4,67.8571428571429,14,"Fluminense"
2006,4,65.8666666666667,15,"Cruzeiro"
2006,4,66.5,16,"Santos"
2006,4,62.5882352941176,17,"Paraná"
2006,4,65.4444444444444,18,"Santos"
2006,4,62,19,"Paraná"
2006,4,60.8,20,"Grêmio"
2006,4,63.3333333333333,21,"Grêmio"
2006,4,65.6363636363636,22,"Grêmio"
2006,4,64.4347826086957,23,"Grêmio"
2006,4,61.75,24,"Santos"
2006,4,60.8,25,"Santos"
2006,4,62.8461538461538,26,"Santos"
2006,4,61.9259259259259,27,"Internacional"
2006,4,63.7857142857143,28,"Internacional"
2006,4,64.2068965517241,29,"Paraná"
2006,4,65.8666666666667,30,"Grêmio"
2006,4,67.4193548387097,31,"Grêmio"
2006,4,65.3125,32,"Grêmio"
2006,4,63.3333333333333,33,"Grêmio"
2006,4,62.5882352941176,34,"Santos"
2006,4,64.0571428571429,35,"Santos"
2006,4,63.3333333333333,36,"Santos"
2006,4,62.6486486486487,37,"Santos"
2006,4,64,38,"Santos"
2007,4,114,1,"Palmeiras"
2007,4,114,2,"Palmeiras"
2007,4,88.6666666666667,3,"Vasco"
2007,4,76,4,"Vasco"
2007,4,76,5,"Paraná"
2007,4,69.6666666666667,6,"Paraná"
2007,4,70.5714285714286,7,"São Paulo"
2007,4,71.25,8,"Corinthians"
2007,4,67.5555555555556,9,"Paraná"
2007,4,64.6,10,"Palmeiras"
2007,4,62.1818181818182,11,"São Paulo"
2007,4,60.1666666666667,12,"Paraná"
2007,4,61.3846153846154,13,"Grêmio"
2007,4,62.4285714285714,14,"Goiás"
2007,4,58.2666666666667,15,"Vasco"
2007,4,61.75,16,"Goiás"
2007,4,58.1176470588235,17,"Goiás"
2007,4,61.2222222222222,18,"Cruzeiro"
2007,4,62,19,"Vasco"
2007,4,64.6,20,"Botafogo"
2007,4,65.1428571428571,21,"Palmeiras"
2007,4,65.6363636363636,22,"Botafogo"
2007,4,62.7826086956522,23,"Botafogo"
2007,4,61.75,24,"Vasco"
2007,4,60.8,25,"Palmeiras"
2007,4,61.3846153846154,26,"Botafogo"
2007,4,60.5185185185185,27,"Palmeiras"
2007,4,61.0714285714286,28,"Santos"
2007,4,62.8965517241379,29,"Grêmio"
2007,4,63.3333333333333,30,"Palmeiras"
2007,4,62.5161290322581,31,"Grêmio"
2007,4,61.75,32,"Santos"
2007,4,62.1818181818182,33,"Cruzeiro"
2007,4,61.4705882352941,34,"Palmeiras"
2007,4,59.7142857142857,35,"Flamengo"
2007,4,61.2222222222222,36,"Palmeiras"
2007,4,59.5675675675676,37,"Palmeiras"
2007,4,61,38,"Fluminense"
2008,4,114,1,"Cruzeiro"
2008,4,76,2,"Figueirense"
2008,4,76,3,"Náutico"
2008,4,66.5,4,"Vasco"
2008,4,76,5,"Grêmio"
2008,4,69.6666666666667,6,"Náutico"
2008,4,76,7,"Náutico"
2008,4,76,8,"Palmeiras"
2008,4,71.7777777777778,9,"Vitória"
2008,4,68.4,10,"Grêmio"
2008,4,69.0909090909091,11,"Vitória"
2008,4,66.5,12,"Palmeiras"
2008,4,67.2307692307692,13,"Vitória"
2008,4,65.1428571428571,14,"Palmeiras"
2008,4,65.8666666666667,15,"Vitória"
2008,4,66.5,16,"Flamengo"
2008,4,67.0588235294118,17,"São Paulo"
2008,4,63.3333333333333,18,"São Paulo"
2008,4,66,19,"São Paulo"
2008,4,64.6,20,"Botafogo"
2008,4,66.9523809523809,21,"Palmeiras"
2008,4,65.6363636363636,22,"Botafogo"
2008,4,64.4347826086957,23,"Botafogo"
2008,4,66.5,24,"Botafogo"
2008,4,63.84,25,"Botafogo"
2008,4,62.8461538461538,26,"Flamengo"
2008,4,64.7407407407407,27,"Flamengo"
2008,4,66.5,28,"Flamengo"
2008,4,68.1379310344828,29,"São Paulo"
2008,4,67.1333333333333,30,"São Paulo"
2008,4,67.4193548387097,31,"Flamengo"
2008,4,68.875,32,"Palmeiras"
2008,4,66.7878787878788,33,"Cruzeiro"
2008,4,68.1764705882353,34,"Palmeiras"
2008,4,66.2285714285714,35,"Cruzeiro"
2008,4,67.5555555555556,36,"Palmeiras"
2008,4,65.7297297297297,37,"Cruzeiro"
2008,4,65,38,"Palmeiras"
2009,4,114,1,"Fluminense"
2009,4,76,2,"Santo André"
2009,4,76,3,"Cruzeiro"
2009,4,76,4,"Náutico"
2009,4,68.4,5,"Santos"
2009,4,63.3333333333333,6,"Vitória"
2009,4,65.1428571428571,7,"Palmeiras"
2009,4,61.75,8,"Grêmio Barueri"
2009,4,67.5555555555556,9,"Palmeiras"
2009,4,72.2,10,"Palmeiras"
2009,4,69.0909090909091,11,"Vitória"
2009,4,66.5,12,"Vitória"
2009,4,67.2307692307692,13,"Corinthians"
2009,4,65.1428571428571,14,"Internacional"
2009,4,65.8666666666667,15,"Goiás"
2009,4,66.5,16,"Internacional"
2009,4,69.2941176470588,17,"Atlético-MG"
2009,4,67.5555555555556,18,"Atlético-MG"
2009,4,66,19,"São Paulo"
2009,4,66.5,20,"Goiás"
2009,4,65.1428571428571,21,"São Paulo"
2009,4,63.9090909090909,22,"São Paulo"
2009,4,64.4347826086957,23,"Goiás"
2009,4,63.3333333333333,24,"Atlético-MG"
2009,4,63.84,25,"Goiás"
2009,4,64.3076923076923,26,"Internacional"
2009,4,63.3333333333333,27,"Goiás"
2009,4,63.7857142857143,28,"Atlético-MG"
2009,4,61.5862068965517,29,"Atlético-MG"
2009,4,62.0666666666667,30,"Internacional"
2009,4,63.741935483871,31,"Internacional"
2009,4,62.9375,32,"Flamengo"
2009,4,64.4848484848485,33,"Flamengo"
2009,4,62.5882352941176,34,"Atlético-MG"
2009,4,60.8,35,"Internacional"
2009,4,62.2777777777778,36,"Palmeiras"
2009,4,63.6756756756757,37,"São Paulo"
2009,4,62,38,"Cruzeiro"
2010,4,114,1,"Cruzeiro"
2010,4,76,2,"Cruzeiro"
2010,4,88.6666666666667,3,"Palmeiras"
2010,4,76,4,"Ceará"
2010,4,60.8,5,"Avaí"
2010,4,57,6,"Flamengo"
2010,4,65.1428571428571,7,"Santos"
2010,4,57,8,"Santos"
2010,4,63.3333333333333,9,"Cruzeiro"
2010,4,60.8,10,"Internacional"
2010,4,65.6363636363636,11,"Internacional"
2010,4,63.3333333333333,12,"Ceará"
2010,4,61.3846153846154,13,"Ceará"
2010,4,57,14,"Santos"
2010,4,60.8,15,"Botafogo"
2010,4,64.125,16,"Botafogo"
2010,4,60.3529411764706,17,"Internacional"
2010,4,63.3333333333333,18,"Botafogo"
2010,4,62,19,"Internacional"
2010,4,64.6,20,"Botafogo"
2010,4,66.9523809523809,21,"Cruzeiro"
2010,4,63.9090909090909,22,"Santos"
2010,4,62.7826086956522,23,"Santos"
2010,4,61.75,24,"Botafogo"
2010,4,62.32,25,"Santos"
2010,4,59.9230769230769,26,"Santos"
2010,4,61.9259259259259,27,"Internacional"
2010,4,61.0714285714286,28,"Santos"
2010,4,62.8965517241379,29,"Santos"
2010,4,60.8,30,"Santos"
2010,4,58.8387096774194,31,"Santos"
2010,4,60.5625,32,"Botafogo"
2010,4,62.1818181818182,33,"Botafogo"
2010,4,61.4705882352941,34,"Botafogo"
2010,4,60.8,35,"Atlético-PR"
2010,4,60.1666666666667,36,"Grêmio"
2010,4,61.6216216216216,37,"Grêmio"
2010,4,60,38,"Grêmio"
2011,4,114,1,"São Paulo"
2011,4,114,2,"Corinthians"
2011,4,76,3,"Atlético-MG"
2011,4,66.5,4,"Atlético-MG"
2011,4,76,5,"Figueirense"
2011,4,69.6666666666667,6,"Botafogo"
2011,4,76,7,"Botafogo"
2011,4,71.25,8,"Internacional"
2011,4,76,9,"Palmeiras"
2011,4,72.2,10,"Palmeiras"
2011,4,69.0909090909091,11,"Vasco"
2011,4,69.6666666666667,12,"Palmeiras"
2011,4,73.0769230769231,13,"Palmeiras"
2011,4,73.2857142857143,14,"Vasco"
2011,4,68.4,15,"Vasco"
2011,4,71.25,16,"Vasco"
2011,4,73.7647058823529,17,"Vasco"
2011,4,71.7777777777778,18,"Vasco"
2011,4,70,19,"Vasco"
2011,4,68.4,20,"Flamengo"
2011,4,66.9523809523809,21,"Botafogo"
2011,4,69.0909090909091,22,"Botafogo"
2011,4,66.0869565217391,23,"Botafogo"
2011,4,64.9166666666667,24,"Botafogo"
2011,4,66.88,25,"Corinthians"
2011,4,65.7692307692308,26,"Botafogo"
2011,4,63.3333333333333,27,"Botafogo"
2011,4,63.7857142857143,28,"Flamengo"
2011,4,62.8965517241379,29,"São Paulo"
2011,4,64.6,30,"Flamengo"
2011,4,63.741935483871,31,"Flamengo"
2011,4,62.9375,32,"Fluminense"
2011,4,63.3333333333333,33,"Botafogo"
2011,4,62.5882352941176,34,"Figueirense"
2011,4,61.8857142857143,35,"Figueirense"
2011,4,60.1666666666667,36,"Internacional"
2011,4,61.6216216216216,37,"Flamengo"
2011,4,61,38,"Flamengo"
2012,4,114,1,"Vasco"
2012,4,76,2,"Internacional"
2012,4,76,3,"Botafogo"
2012,4,76,4,"Internacional"
2012,4,68.4,5,"Botafogo"
2012,4,76,6,"Grêmio"
2012,4,76,7,"Cruzeiro"
2012,4,71.25,8,"Botafogo"
2012,4,67.5555555555556,9,"Botafogo"
2012,4,68.4,10,"Grêmio"
2012,4,72.5454545454545,11,"Grêmio"
2012,4,76,12,"Grêmio"
2012,4,70.1538461538462,13,"Grêmio"
2012,4,73.2857142857143,14,"Grêmio"
2012,4,70.9333333333333,15,"Grêmio"
2012,4,73.625,16,"Grêmio"
2012,4,69.2941176470588,17,"Grêmio"
2012,4,71.7777777777778,18,"Grêmio"
2012,4,70,19,"Vasco"
2012,4,66.5,20,"Vasco"
2012,4,68.7619047619048,21,"Vasco"
2012,4,67.3636363636364,22,"Vasco"
2012,4,64.4347826086957,23,"Vasco"
2012,4,66.5,24,"Vasco"
2012,4,65.36,25,"Vasco"
2012,4,64.3076923076923,26,"Vasco"
2012,4,66.1481481481482,27,"Vasco"
2012,4,67.8571428571429,28,"Vasco"
2012,4,65.5172413793103,29,"Vasco"
2012,4,65.8666666666667,30,"São Paulo"
2012,4,67.4193548387097,31,"São Paulo"
2012,4,65.3125,32,"São Paulo"
2012,4,66.7878787878788,33,"São Paulo"
2012,4,65.9411764705882,34,"São Paulo"
2012,4,64.0571428571429,35,"São Paulo"
2012,4,65.4444444444444,36,"São Paulo"
2012,4,64.7027027027027,37,"São Paulo"
2012,4,66,38,"São Paulo"
2013,4,114,1,"São Paulo"
2013,4,76,2,"Internacional"
2013,4,76,3,"Fluminense"
2013,4,66.5,4,"Vitória"
2013,4,68.4,5,"Fluminense"
2013,4,57,6,"Fluminense"
2013,4,65.1428571428571,7,"Cruzeiro"
2013,4,71.25,8,"Internacional"
2013,4,63.3333333333333,9,"Vitória"
2013,4,60.8,10,"Bahia"
2013,4,65.6363636363636,11,"Bahia"
2013,4,60.1666666666667,12,"Vitória"
2013,4,61.3846153846154,13,"Corinthians"
2013,4,59.7142857142857,14,"Grêmio"
2013,4,63.3333333333333,15,"Corinthians"
2013,4,64.125,16,"Atlético-PR"
2013,4,67.0588235294118,17,"Botafogo"
2013,4,65.4444444444444,18,"Grêmio"
2013,4,68,19,"Atlético-PR"
2013,4,66.5,20,"Atlético-PR"
2013,4,63.3333333333333,21,"Atlético-PR"
2013,4,65.6363636363636,22,"Atlético-PR"
2013,4,64.4347826086957,23,"Grêmio"
2013,4,64.9166666666667,24,"Atlético-PR"
2013,4,62.32,25,"Atlético-PR"
2013,4,62.8461538461538,26,"Botafogo"
2013,4,63.3333333333333,27,"Atlético-PR"
2013,4,65.1428571428571,28,"Atlético-PR"
2013,4,64.2068965517241,29,"Botafogo"
2013,4,63.3333333333333,30,"Botafogo"
2013,4,63.741935483871,31,"Atlético-PR"
2013,4,62.9375,32,"Botafogo"
2013,4,61.030303030303,33,"Botafogo"
2013,4,62.5882352941176,34,"Goiás"
2013,4,62.9714285714286,35,"Atlético-PR"
2013,4,62.2777777777778,36,"Goiás"
2013,4,60.5945945945946,37,"Goiás"
2013,4,61,38,"Botafogo"
2014,4,114,1,"Palmeiras"
2014,4,76,2,"Atlético-PR"
2014,4,88.6666666666667,3,"Goiás"
2014,4,66.5,4,"Bahia"
2014,4,76,5,"Grêmio"
2014,4,76,6,"Palmeiras"
2014,4,70.5714285714286,7,"Grêmio"
2014,4,71.25,8,"Internacional"
2014,4,67.5555555555556,9,"Internacional"
2014,4,64.6,10,"Sport"
2014,4,65.6363636363636,11,"Internacional"
2014,4,69.6666666666667,12,"Internacional"
2014,4,67.2307692307692,13,"Corinthians"
2014,4,70.5714285714286,14,"Corinthians"
2014,4,65.8666666666667,15,"Fluminense"
2014,4,68.875,16,"São Paulo"
2014,4,67.0588235294118,17,"Corinthians"
2014,4,65.4444444444444,18,"Corinthians"
2014,4,64,19,"Corinthians"
2014,4,64.6,20,"Internacional"
2014,4,63.3333333333333,21,"Fluminense"
2014,4,62.1818181818182,22,"Grêmio"
2014,4,64.4347826086957,23,"Grêmio"
2014,4,63.3333333333333,24,"Atlético-MG"
2014,4,65.36,25,"Atlético-MG"
2014,4,62.8461538461538,26,"Atlético-MG"
2014,4,64.7407407407407,27,"Grêmio"
2014,4,63.7857142857143,28,"Atlético-MG"
2014,4,65.5172413793103,29,"Atlético-MG"
2014,4,64.6,30,"Atlético-MG"
2014,4,64.9677419354839,31,"Internacional"
2014,4,64.125,32,"Fluminense"
2014,4,65.6363636363636,33,"Atlético-MG"
2014,4,67.0588235294118,34,"Corinthians"
2014,4,66.2285714285714,35,"Atlético-MG"
2014,4,66.5,36,"Internacional"
2014,4,67.7837837837838,37,"Corinthians"
2014,4,69,38,"Corinthians"
