ano,rodada,data,mandante,gm,gv,visitante,local,perda_pontos_m,perda_pontos_v
2006,1,2006-04-15,Avaí,1,2,Sport,Ressacada,,
2006,1,2006-04-15,Ceará,2,1,Paysandu,Castelão,,
2006,1,2006-04-15,Portuguesa,1,1,São Raimundo,Canindé,,
2006,1,2006-04-15,Marília,1,1,Atlético-MG,Bento de Abreu,,
2006,1,2006-04-15,América-RN,1,2,Ituano,Machadão,,
2006,1,2006-04-15,Paulista,1,0,Santo André,Jaime Cintra,,
2006,1,2006-04-15,Remo,1,2,Coritiba,Baenão (*PF),,
2006,1,2006-04-15,Gama,2,0,Vila Nova,Mané Garrincha,,
2006,1,2006-04-15,Náutico,3,2,Brasiliense,Arruda (*PF),,
2006,1,2006-04-15,Guarani,3,2,CRB,Brinco de Ouro,,
2006,2,2006-04-18,Sport,3,0,Gama,Ilha do Retiro,,
2006,2,2006-04-18,Santo André,1,1,Marília,Bruno José Daniel,,
2006,2,2006-04-21,Paysandu,1,0,América-RN,Curuzú (*PF),,
2006,2,2006-04-21,CRB,1,0,Portuguesa,Rei Pelé,,
2006,2,2006-04-22,Vila Nova,1,2,Remo,Serra Dourada,,
2006,2,2006-04-22,Coritiba,1,1,Guarani,Couto Pereira,,
2006,2,2006-04-22,Brasiliense,1,1,Ceará,Boca do Jacaré,,
2006,2,2006-04-22,Atlético-MG,3,1,Náutico,Mineirão,,
2006,2,2006-04-22,São Raimundo,0,0,Avaí,Vivaldão,,
2006,2,2006-04-23,Ituano,1,1,Paulista,Décio Vitta,,
2006,3,2006-04-25,Náutico,3,2,Paysandu,Aflitos,,
2006,3,2006-04-25,Santo André,0,1,Sport,Bruno José Daniel,,
2006,3,2006-04-28,América-RN,2,1,Brasiliense,Machadão,,
2006,3,2006-04-28,Gama,1,1,Paulista,Mané Garrincha,,
2006,3,2006-04-29,Atlético-MG,5,0,CRB,Mineirão,,
2006,3,2006-04-29,Marília,0,0,Avaí,Bento de Abreu,,
2006,3,2006-04-29,Coritiba,3,0,Portuguesa,Couto Pereira,,
2006,3,2006-04-29,Vila Nova,0,1,Ituano,Serra Dourada,,
2006,3,2006-04-29,Remo,1,1,Ceará,Baenão (*PF),,
2006,3,2006-04-29,São Raimundo,1,1,Guarani,Vivaldão,,
2006,4,2006-05-02,Sport,3,1,Remo,Ilha do Retiro,,
2006,4,2006-05-02,Avaí,1,0,Vila Nova,Ressacada,,
2006,4,2006-05-05,Portuguesa,4,0,América-RN,Canindé,,
2006,4,2006-05-05,Ceará,1,1,Santo André,Presidente Vargas,,
2006,4,2006-05-06,Ituano,2,2,Marília,Palma Travassos,,
2006,4,2006-05-06,CRB,1,1,Gama,Rei Pelé,,
2006,4,2006-05-06,Paulista,1,1,Atlético-MG,Jaime Cintra,,
2006,4,2006-05-06,Guarani,2,2,Náutico,Brinco de Ouro,,
2006,4,2006-05-06,Paysandu,1,0,São Raimundo,Curuzú (*PF),,
2006,4,2006-05-06,Brasiliense,4,1,Coritiba,Boca do Jacaré,,
2006,5,2006-05-09,CRB,5,1,São Raimundo,Rei Pelé,,
2006,5,2006-05-09,Paysandu,3,1,Santo André,Curuzú (*PF),,
2006,5,2006-05-09,Ceará,0,2,Paulista,Presidente Vargas,,
2006,5,2006-05-09,Marília,2,1,América-RN,Bento de Abreu,,
2006,5,2006-05-12,Náutico,2,3,Vila Nova,Aflitos,,
2006,5,2006-05-12,Guarani,2,2,Avaí,Brinco de Ouro,,
