"Ano","Pos","Pts","Rodada","Clube"
2006,2,114,1,"Guarani"
2006,2,76,2,"Atlético-MG"
2006,2,88.6666666666667,3,"Atlético-MG"
2006,2,76,4,"Atlético-MG"
2006,2,83.6,5,"Atlético-MG"
2006,2,82.3333333333333,6,"Sport"
2006,2,76,7,"Coritiba"
2006,2,66.5,8,"Coritiba"
2006,2,71.7777777777778,9,"Náutico"
2006,2,68.4,10,"Sport"
2006,2,65.6363636363636,11,"Sport"
2006,2,69.6666666666667,12,"Avaí"
2006,2,67.2307692307692,13,"Avaí"
2006,2,65.1428571428571,14,"Náutico"
2006,2,65.8666666666667,15,"Coritiba"
2006,2,68.875,16,"Coritiba"
2006,2,67.0588235294118,17,"Avaí"
2006,2,67.5555555555556,18,"Náutico"
2006,2,70,19,"Náutico"
2006,2,66.5,20,"Náutico"
2006,2,68.7619047619048,21,"Náutico"
2006,2,65.6363636363636,22,"Náutico"
2006,2,64.4347826086957,23,"Coritiba"
2006,2,63.3333333333333,24,"Sport"
2006,2,63.84,25,"Náutico"
2006,2,64.3076923076923,26,"Atlético-MG"
2006,2,63.3333333333333,27,"Náutico"
2006,2,65.1428571428571,28,"Atlético-MG"
2006,2,64.2068965517241,29,"Náutico"
2006,2,64.6,30,"Sport"
2006,2,66.1935483870968,31,"Sport"
2006,2,67.6875,32,"Sport"
2006,2,66.7878787878788,33,"Atlético-MG"
2006,2,67.0588235294118,34,"Sport"
2006,2,66.2285714285714,35,"Sport"
2006,2,67.5555555555556,36,"Sport"
2006,2,65.7297297297297,37,"Sport"
2006,2,64,38,"Sport"
2007,2,114,1,"Coritiba"
2007,2,76,2,"Marília"
2007,2,88.6666666666667,3,"Marília"
2007,2,85.5,4,"Fortaleza"
2007,2,76,5,"São Caetano"
2007,2,76,6,"Coritiba"
2007,2,76,7,"Ponte Preta"
2007,2,71.25,8,"Gama"
2007,2,67.5555555555556,9,"Coritiba"
2007,2,72.2,10,"Coritiba"
2007,2,65.6363636363636,11,"Coritiba"
2007,2,66.5,12,"Vitória"
2007,2,67.2307692307692,13,"Coritiba"
2007,2,70.5714285714286,14,"Coritiba"
2007,2,65.8666666666667,15,"Marília"
2007,2,68.875,16,"Marília"
2007,2,71.5294117647059,17,"Marília"
2007,2,67.5555555555556,18,"Marília"
2007,2,70,19,"Coritiba"
2007,2,66.5,20,"Coritiba"
2007,2,65.1428571428571,21,"Coritiba"
2007,2,67.3636363636364,22,"Coritiba"
2007,2,66.0869565217391,23,"Coritiba"
2007,2,64.9166666666667,24,"Criciúma"
2007,2,65.36,25,"Ipatinga"
2007,2,67.2307692307692,26,"Ipatinga"
2007,2,64.7407407407407,27,"Ipatinga"
2007,2,63.7857142857143,28,"Ipatinga"
2007,2,62.8965517241379,29,"Criciúma"
2007,2,63.3333333333333,30,"Vitória"
2007,2,63.741935483871,31,"Portuguesa"
2007,2,61.75,32,"Ipatinga"
2007,2,62.1818181818182,33,"Vitória"
2007,2,62.5882352941176,34,"Portuguesa"
2007,2,64.0571428571429,35,"Portuguesa"
2007,2,64.3888888888889,36,"Ipatinga"
2007,2,65.7297297297297,37,"Ipatinga"
2007,2,67,38,"Ipatinga"
2008,2,114,1,"Barueri"
2008,2,76,2,"Fortaleza"
2008,2,88.6666666666667,3,"Fortaleza"
2008,2,85.5,4,"Juventude"
2008,2,76,5,"Juventude"
2008,2,69.6666666666667,6,"São Caetano"
2008,2,70.5714285714286,7,"Avaí"
2008,2,76,8,"Avaí"
2008,2,76,9,"Juventude"
2008,2,76,10,"Barueri"
2008,2,72.5454545454545,11,"Juventude"
2008,2,76,12,"Juventude"
2008,2,70.1538461538462,13,"Juventude"
2008,2,67.8571428571429,14,"Ponte Preta"
2008,2,68.4,15,"Barueri"
2008,2,71.25,16,"Avaí"
2008,2,73.7647058823529,17,"Avaí"
2008,2,71.7777777777778,18,"Avaí"
2008,2,70,19,"Avaí"
2008,2,72.2,20,"Avaí"
2008,2,70.5714285714286,21,"Avaí"
2008,2,72.5454545454545,22,"Avaí"
2008,2,72.695652173913,23,"Vila Nova"
2008,2,71.25,24,"Avaí"
2008,2,71.44,25,"Vila Nova"
2008,2,68.6923076923077,26,"Vila Nova"
2008,2,67.5555555555556,27,"Vila Nova"
2008,2,69.2142857142857,28,"Vila Nova"
2008,2,66.8275862068966,29,"Vila Nova"
2008,2,67.1333333333333,30,"Avaí"
2008,2,68.6451612903226,31,"Avaí"
2008,2,70.0625,32,"Avaí"
2008,2,71.3939393939394,33,"Avaí"
2008,2,70.4117647058824,34,"Avaí"
2008,2,71.6571428571429,35,"Avaí"
2008,2,69.6666666666667,36,"Avaí"
2008,2,67.7837837837838,37,"Avaí"
2008,2,68,38,"Santo André"
2009,2,114,1,"Guarani"
2009,2,114,2,"Duque de Caxias"
2009,2,114,3,"Guarani"
2009,2,85.5,4,"Ipatinga"
2009,2,76,5,"Ipatinga"
2009,2,76,6,"Brasiliense"
2009,2,81.4285714285714,7,"Brasiliense"
2009,2,85.5,8,"Brasiliense"
2009,2,80.2222222222222,9,"Brasiliense"
2009,2,76,10,"Atlético-GO"
2009,2,72.5454545454545,11,"Portuguesa"
2009,2,72.8333333333333,12,"Atlético-GO"
2009,2,76,13,"Atlético-GO"
2009,2,76,14,"Guarani"
2009,2,73.4666666666667,15,"Vasco"
2009,2,76,16,"Vasco"
2009,2,73.7647058823529,17,"Vasco"
2009,2,76,18,"Vasco"
2009,2,72,19,"Atlético-GO"
2009,2,74.1,20,"Atlético-GO"
2009,2,72.3809523809524,21,"Atlético-GO"
2009,2,70.8181818181818,22,"Atlético-GO"
2009,2,71.0434782608696,23,"Guarani"
2009,2,72.8333333333333,24,"Guarani"
2009,2,69.92,25,"Guarani"
2009,2,71.6153846153846,26,"Guarani"
2009,2,73.1851851851852,27,"Guarani"
2009,2,71.9285714285714,28,"Guarani"
2009,2,73.3793103448276,29,"Guarani"
2009,2,74.7333333333333,30,"Guarani"
2009,2,72.3225806451613,31,"Guarani"
2009,2,73.625,32,"Guarani"
2009,2,71.3939393939394,33,"Guarani"
2009,2,70.4117647058824,34,"Ceará"
2009,2,70.5714285714286,35,"Guarani"
2009,2,69.6666666666667,36,"Guarani"
2009,2,68.8108108108108,37,"Ceará"
2009,2,69,38,"Guarani"
2010,2,114,1,"Paraná"
2010,2,114,2,"Bahia"
2010,2,88.6666666666667,3,"Náutico"
2010,2,95,4,"Náutico"
2010,2,91.2,5,"Paraná"
2010,2,82.3333333333333,6,"Bahia"
2010,2,76,7,"América-MG"
2010,2,76,8,"Figueirense"
2010,2,80.2222222222222,9,"Figueirense"
2010,2,79.8,10,"Coritiba"
2010,2,79.4545454545455,11,"Náutico"
2010,2,76,12,"Figueirense"
2010,2,76,13,"Portuguesa"
2010,2,73.2857142857143,14,"Figueirense"
2010,2,70.9333333333333,15,"Figueirense"
2010,2,71.25,16,"Coritiba"
2010,2,67.0588235294118,17,"Bahia"
2010,2,69.6666666666667,18,"Coritiba"
2010,2,70,19,"Ponte Preta"
2010,2,68.4,20,"Coritiba"
2010,2,66.9523809523809,21,"Bahia"
2010,2,69.0909090909091,22,"Coritiba"
2010,2,67.7391304347826,23,"Bahia"
